Code;Municipality;Species;Trophic guild;Group;THg;NT;d15N;CT;d13C
Mf03-ISO;Mecaya;Ca?o/lago Pto Pr?ncipe (zona macrofita c3, parecida a Azolla);NA;Macrophytes;NA;21.242.719;5.788;200.944.675;-28.543
Mf04-ISO;Mecaya;Desembocadura ca?o/lago pto pr?ncipe (Echinocloa cf colonum c4;NA;Macrophytes;NA;0.4277628;2.744;232.435.818;-26.884
Mf05-ISO;Mecaya;Ca?o pe?as blancas (Azolla);NA;Macrophytes;NA;27.398.149;-0.263;202.059.138;-31.825
Mf06-ISO;Mecaya;Ca?o peterumbe (Pistia stratiotes);NA;Macrophytes;NA;20.300.879;4.565;19.088.797;-30.58
Mf07-ISO;Curillo;Laguna Fidelicia (Pistia stratiotes);NA;Macrophytes;NA;26.755.401;4.456;220.711.635;-29.039
Mf08-ISO;Curillo;Laguna Fidelicia (cogida por don anoraldo) NN2;NA;Macrophytes;NA;15.166.855;2.943;199.877.956;-28.291
Mf09-ISO;Curillo;Humedal colegio la pradera NN1 (era como un cuerno de alce peque?o);NA;Macrophytes;NA;26.130.292;7.898;245.580.976;-11.658
Mf10-ISO;Curillo;Humedal colegio la pradera (Ceratopteris pteroides);NA;Macrophytes;NA;48.937.001;7.411;182.462.102;-28.109
Mf11-ISO;Curillo;Humedal colegio la pradera (Lemna minor);NA;Macrophytes;NA;18.908.765;10.307;204.188.249;-30.834
Mf12-ISO;Curillo;Humedal colegio la pradera (Lemna);NA;Macrophytes;NA;22.505.072;9.997;224.824.455;-30.212
Mf13-ISO;Curillo;Laguna Fidelicia (Eichornnia crassipes);NA;Macrophytes;NA;15.646.704;4.369;243.447.324;-28.992
Mf14- ISO;San Antonio de Getuchá;R?o Orteguaza (Oriza);NA;Macrophytes;NA;0.5725518;3.458;214.601.702;-26.466
Mf15-ISO;San Antonio de Getuchá;Tramo r?o Orteguaza (Pasto C4);NA;Macrophytes;NA;33.787.568;3.641;237.465.706;-27.413
Mf16-ISO;Curillo;Laguna Fidelicia (como una lenteja grande y con pubescencia);NA;Macrophytes;NA;19.618.938;3.182;215.777.388;-30.196
MF17-ISO;Mecaya;Punto 1;NA;Macrophytes;NA;22.300.842;5.337;211.646.832;-29.5
MF18-ISO;Mecaya;Punto 2;NA;Macrophytes;NA;27.153.366;2.895;247.478.435;-31.186
MF19-ISO;Mecaya;Punto 1;NA;Macrophytes;NA;0.9084909;3.611;19.449.883;-28.339
MF20-ISO;Mecaya;Punto 1;NA;Macrophytes;NA;18.419.543;0.403;218.593.283;-33.136
MF21-ISO;Mecaya;Punto 1;NA;Macrophytes;NA;35.764.976;3.956;242.413.742;-32.934
MF22-ISO;Mecaya;Punto 1;NA;Macrophytes;NA;21.960.656;-1.079;220.998.447;-34.926
MF23-ISO;Mecaya;Punto 2;NA;Macrophytes;NA;14.492.943;2.379;211.852.921;-30.75
MF24-ISO;Mecaya;Punto 3;NA;Macrophytes;NA;36.511.885;4.964;232.385.165;-30.026
MF26-ISO;Mecaya;Punto 2;NA;Macrophytes;NA;13.903.983;-1.456;210.933.931;-34.968
MF27-ISO;Mecaya;Punto 2;NA;Macrophytes;NA;17.197.848;0.012;1.995.631;-34.725
MF28-ISO;Mecaya;Punto 3;NA;Macrophytes;NA;21.923.093;3.802;197.401.813;-30.471
MF29-ISO;Curillo;Punto 1;NA;Macrophytes;NA;0.9769227;6.473;229.498.866;-28.448
MF30-ISO;Curillo;Punto 1;NA;Macrophytes;NA;19.119.071;5.697;199.785.804;-29.54
MF31-ISO;Curillo;Punto 1;NA;Macrophytes;NA;24.465.346;5.259;241.944.327;-16.121
MF32-ISO;Curillo;Punto 2 Laguna peque?a;NA;Macrophytes;NA;22.178.504;6.34;220.149.875;-29.733
MF33-ISO;Curillo;Punto 1;NA;Macrophytes;NA;25.679.883;4.044;240.565.376;-27.699
MF34-ISO;Curillo;Punto 1;NA;Macrophytes;NA;13.969.741;3.5;210.868.556;-30.448
MF35-ISO;Curillo;Punto 2;NA;Macrophytes;NA;18.194.006;6.479;225.925.873;-12.189
MF36-ISO;Curillo;Punto 2 Laguna de la Cocha;NA;Macrophytes;NA;14.152.916;5.008;227.316.604;-29.941
MF37-ISO;Curillo;Punto 1;NA;Macrophytes;NA;29.711.412;4.032;202.714.164;-27.008
BD119;Curillo;Fish_stomach_content;NA;Aquatic macroinvertebrates;NA;17.859.555;3.368;309.116.479;-24.86
BD11;Mecaya;Fish_stomach_content;NA;Aquatic macroinvertebrates;NA;32.297.319;5.658;217.668.804;-24.506
BD12;Mecaya;Fish_stomach_content;NA;Aquatic macroinvertebrates;NA;73.242.951;7.672;13.069.966;-20.755
BD222;San Antonio de Getuchá;Fish_stomach_content;NA;Aquatic macroinvertebrates;NA;40.748.823;7.765;284.336.171;-25.333
BD98;Mecaya;Fish_stomach_content;NA;Aquatic macroinvertebrates;NA;45.175.711;8.081;314.312.616;-23.583
BD6;Mecaya;Fish_stomach_content;NA;Aquatic macroinvertebrates;NA;12.798.112;5.768;207.305.732;-24.042
BD35;Mecaya;Fish_stomach_content;NA;Aquatic macroinvertebrates;NA;0.9201917;3.543;380.537.518;-27.825
Macr01-ISO (1);Mecaya;Depredadores;NA;Aquatic macroinvertebrates;NA;74.396.553;3.611;422.513.848;-32.648
Macr01-ISO (2,3,4,6,9);Mecaya;Detrit?voros;NA;Aquatic macroinvertebrates;NA;121.677.145;5.264;411.598.974;-33.221
Macr02-ISO;Mecaya;Depredadores;NA;Aquatic macroinvertebrates;NA;114.197.079;2.561;436.604.788;-31.131
Macr03-ISO (1,4,2);Mecaya;Detrit?voros;NA;Aquatic macroinvertebrates;NA;111.594.625;4.924;4.199.325;-35.544
Macr03-ISO (6);Curillo;Depredadores;NA;Aquatic macroinvertebrates;NA;11.392.771;5.826;433.245.164;-38.882
Macr05-ISO - Macr020-Hg;Curillo;Depredadores;NA;Aquatic macroinvertebrates;NA;69.981.436;5.938;316.237.739;-30.352
Macr07-ISO;Curillo;Depredadores;NA;Aquatic macroinvertebrates;NA;109.947.746;5.533;421.864.898;-37.074
Macr12-ISO (1,7,19);Curillo;Fitoplanct?fago-Detrit?voros;NA;Aquatic macroinvertebrates;NA;101.704.642;4.983;383.650.808;-34.618
Macr12-ISO (8,16,21,...);Curillo;Depredadores;NA;Aquatic macroinvertebrates;NA;98.967.585;6.1;412.034.728;-31.275
Macr14-ISO;Curillo;Pol?fagos;NA;Aquatic macroinvertebrates;NA;68.919.586;6.401;295.996.449;-25.229
Macr16-ISO;Curillo;Depredadores;NA;Aquatic macroinvertebrates;NA;118.190.513;4.051;435.487.838;-29.014
Macr015-Hg;Curillo;Depredadores;NA;Aquatic macroinvertebrates;NA;78.944.679;4.399;329.583.292;-27.81
Macr019-Hg (202,199,...);Curillo;Depredadores;NA;Aquatic macroinvertebrates;NA;12.382.976;5.032;401.870.927;-33.852
Macr019-Hg (197,198,...);Mecaya;Detrit?voros;NA;Aquatic macroinvertebrates;NA;61.642.257;5.812;287.230.403;-29.852
NA;Mecaya;NA;NA;Aquatic macroinvertebrates;NA;24.530.846;3.733;167.108.467;-26.465
