Code,Municipality,Species,Trophic_guild,Group,THg,NT,d15N,CT,d13C,Entity_key
"Macr12-ISO (8,16,21,...)",Curillo,Depredadores,NA,Aquatic macroinvertebrates,NA,98.967.585,6.1,412.034.728,-31.275,Aquatic macroinvertebrates
Macr14-ISO,Curillo,Pol?fagos,NA,Aquatic macroinvertebrates,NA,68.919.586,6.401,295.996.449,-25.229,Aquatic macroinvertebrates
Macr16-ISO,Curillo,Depredadores,NA,Aquatic macroinvertebrates,NA,118.190.513,4.051,435.487.838,-29.014,Aquatic macroinvertebrates
Macr015-Hg,Curillo,Depredadores,NA,Aquatic macroinvertebrates,NA,78.944.679,4.399,329.583.292,-27.81,Aquatic macroinvertebrates
"Macr019-Hg (202,199,...)",Curillo,Depredadores,NA,Aquatic macroinvertebrates,NA,12.382.976,5.032,401.870.927,-33.852,Aquatic macroinvertebrates
"Macr019-Hg (197,198,...)",Mecaya,Detrit?voros,NA,Aquatic macroinvertebrates,NA,61.642.257,5.812,287.230.403,-29.852,Aquatic macroinvertebrates
NA,Mecaya,NA,NA,Aquatic macroinvertebrates,NA,24.530.846,3.733,167.108.467,-26.465,Aquatic macroinvertebrates
NA,Mecaya,NA,NA,Aquatic macroinvertebrates,NA,109.715.624,2.572,443.785.051,-37.811,Aquatic macroinvertebrates
NA,Mecaya,NA,NA,Aquatic macroinvertebrates,NA,104.954.209,6.772,415.378.918,-30.548,Aquatic macroinvertebrates
NA,Mecaya,NA,NA,Aquatic macroinvertebrates,NA,116.486.494,3.667,403.657.132,-33.526,Aquatic macroinvertebrates
NA,Mecaya,NA,NA,Aquatic macroinvertebrates,NA,109.225.982,3.827,484.305.708,-34.604,Aquatic macroinvertebrates
NA,Curillo,NA,NA,Aquatic macroinvertebrates,NA,114.344.838,3.29,471.948.853,-34.511,Aquatic macroinvertebrates
NA,Curillo,NA,NA,Aquatic macroinvertebrates,NA,17.746.686,7.522,132.380.983,-13.89,Aquatic macroinvertebrates
NA,Curillo,NA,NA,Aquatic macroinvertebrates,NA,124.671.375,6.498,423.427.465,-30.4,Aquatic macroinvertebrates
NA,Curillo,NA,NA,Aquatic macroinvertebrates,NA,108.242.896,2.196,480.942.203,-36.171,Aquatic macroinvertebrates
NA,Curillo,NA,NA,Aquatic macroinvertebrates,NA,123.200.917,11.209,414.122.077,-30.042,Aquatic macroinvertebrates
NA,Curillo,NA,NA,Aquatic macroinvertebrates,NA,116.236.126,1.395,463.643.641,-38.171,Aquatic macroinvertebrates
NA,Curillo,NA,NA,Aquatic macroinvertebrates,NA,11.046.542,4.821,456.684.453,-31.358,Aquatic macroinvertebrates
NA,Curillo,NA,NA,Aquatic macroinvertebrates,NA,109.368.665,5.346,440.014.346,-32.892,Aquatic macroinvertebrates
NA,Mecaya,NA,NA,Aquatic macroinvertebrates,NA,109.597.752,4.836,431.459.397,-34.058,Aquatic macroinvertebrates
NA,Mecaya,NA,NA,Aquatic macroinvertebrates,NA,12.904.368,8.062,429.693.548,-28.313,Aquatic macroinvertebrates
NA,Mecaya,NA,NA,Aquatic macroinvertebrates,NA,119.146.251,11.623,434.874.848,-30.542,Aquatic macroinvertebrates
M11-ISO-18,Mecaya,Ageneiousus brevifilis,Carnivore-piscivore,Fish,0.260184,14.5,10.18,42.36,-30.32,Fish | Carnivore-piscivore
M25-ISO-147,San Antonio de Getucha,Aphanotorulus unicolor,Primary Consumer,Fish,0.0839,13.57,7.4,43.12,-25.38,Fish | Primary Consumer
M10-ISO-19,Mecaya,Aphanotorulus unicolor,Primary Consumer,Fish,0.0467,14.45,7.5,40.21,-29.93,Fish | Primary Consumer
